"section_number","section_title","description","example_use_cases","punishment"
"225B","Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for","Whoever resists lawful apprehension, or escapes from custody, in cases not otherwise provided for, shall be punished.","Resisting arrest in a situation not covered by more specific sections.","Imprisonment up to six months, or fine, or both."
"226","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"227","Violation of condition of remission of punishment","Whoever, having accepted any conditional remission of punishment, violates any condition, shall be punished with the punishment of the original offence.","A prisoner released early on parole breaks the terms of their parole.","Punishment for the original offence."
"228","Intentional insult or interruption to public servant sitting in judicial proceeding","Whoever intentionally offers any insult or causes any interruption to any public servant while such public servant is sitting in any stage of a judicial proceeding, shall be punished.","Shouting insults at a judge during a court hearing.","Simple imprisonment up to six months, or fine up to one thousand rupees, or both."
"228A","Disclosure of identity of the victim of certain offences etc.","Whoever prints or publishes the name or any matter which may make known the identity of any person against whom certain sexual offences have been committed, shall be punished.","A newspaper reveals the name of a rape victim.","Imprisonment up to two years and fine."
"229","Personation of a juror or assessor","Whoever, by personation or otherwise, intentionally causes himself to be served with a summons as a juror or assessor, or serves on such jury or as such assessor, shall be punished.","Posing as someone else to serve on a jury.","Imprisonment up to two years, or fine, or both."
"229A","Failure by person released on bail or bond to appear in Court","Whoever, having been charged with an offence and released on bail or bond, fails without sufficient cause to appear in court, shall be punished.","A person jumps bail and does not show up for their court date.","Imprisonment up to one year, or fine, or both. If the offence is non-bailable, punishment for the original offence may also be applied."
"230","'Coin' defined","Coin is defined as metal used for the time being as money, and stamped and issued by the authority of some State or Sovereign Power in order to be so used.","Indian rupee coins, US dollar coins, or British pound coins.","Not a penal section; it is a definition clause."
"231","Counterfeiting coin","Whoever counterfeits or knowingly performs any part of the process of counterfeiting coin, shall be punished.","Manufacturing fake Indian rupee coins.","Imprisonment up to seven years and fine."
"232","Counterfeiting Indian coin","Whoever counterfeits, or knowingly performs any part of the process of counterfeiting, Indian coin, shall be punished with imprisonment for life, or with imprisonment up to ten years, and fine.","Manufacturing fake Indian currency coins with intent to circulate them.","Imprisonment for life or imprisonment up to ten years, and fine."
"233","Making or selling instrument for counterfeiting coin","Whoever makes, mends, buys, sells, or disposes of any die or instrument for the purpose of being used in counterfeiting coin, shall be punished.","Selling equipment designed to mint counterfeit coins.","Imprisonment up to three years and fine."
"234","Making or selling instrument for counterfeiting Indian coin","Whoever makes, mends, buys, sells, or disposes of any die or instrument for the purpose of being used in counterfeiting Indian coin, shall be punished.","Creating a mold specifically designed to counterfeit Indian rupee coins.","Imprisonment up to seven years and fine."
"235","Possession of instrument or material for counterfeiting coin","Whoever is in possession of any instrument or material for the purpose of using it in counterfeiting coin, shall be punished.","Being found with blank metal discs and dyes intended for making fake coins.","Imprisonment up to three years and fine. If for Indian coin: imprisonment up to ten years and fine."
"236","Abetting in India the counterfeiting out of India of coin","Whoever, being within India, abets the counterfeiting of coin outside India, shall be punished.","A person in India provides designs to someone abroad to counterfeit foreign currency.","Punishment as for counterfeiting such coin."
"237","Import or export of counterfeit coin","Whoever imports into India, or exports therefrom, any counterfeit coin, knowing it to be counterfeit, shall be punished.","Smuggling fake US dollar coins into India.","Imprisonment up to three years and fine."
"238","Import or export of counterfeits of the Indian coin","Whoever imports into India, or exports therefrom, any counterfeit Indian coin, knowing it to be counterfeit, shall be punished.","Smuggling fake Indian rupee coins into or out of the country.","Imprisonment for life or imprisonment up to ten years, and fine."
"239","Delivery of coin, possessed with knowledge that it is counterfeit","Whoever, having any counterfeit coin which he knows to be counterfeit, delivers it to another person, shall be punished.","Paying for goods with counterfeit coins knowing they are fake.","Imprisonment up to five years and fine."
"240","Delivery of Indian coin, possessed with knowledge that it is counterfeit","Whoever, having any counterfeit Indian coin which he knows to be counterfeit, delivers it to another person, shall be punished.","Using fake Indian rupee coins to make a purchase.","Imprisonment up to ten years and fine."
"241","Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit","Whoever delivers to another any counterfeit coin as genuine, which he did not know to be counterfeit when he took it into his possession, but subsequently discovered to be counterfeit, shall be punished.","A shopkeeper receives a counterfeit coin as change and, upon realizing it is fake, uses it to pay another customer.","Imprisonment up to two years, or fine up to ten times the value of the coin, or both."
"242","Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof","Whoever, with knowledge that a coin is counterfeit, is in possession of such coin, shall be punished.","Holding onto counterfeit coins with the intent to use them later.","Imprisonment up to three years and fine."
"243","Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof","Whoever, with knowledge that an Indian coin is counterfeit, is in possession of such coin, shall be punished.","Being in possession of fake Indian rupee coins.","Imprisonment up to seven years and fine."
"244","Person employed in mint causing coin to be of different weight or composition from that fixed by law","Whoever, being employed in a mint, causes a coin to be of a different weight or composition than that established by law, shall be punished.","A mint worker deliberately produces coins with less metal content than required.","Imprisonment up to seven years and fine."
"245","Unlawfully taking from mint any coining instrument","Whoever, without lawful authority, takes from a mint any tool or instrument used for coining, shall be punished.","Stealing a dye or press from the government mint.","Imprisonment up to seven years and fine."
"246","Fraudulently or dishonestly diminishing weight or altering composition of coin","Whoever fraudulently or dishonestly diminishes the weight or alters the composition of any coin, shall be punished.","Shaving off bits of metal from coins to sell the metal.","Imprisonment up to three years and fine."
"247","Fraudulently or dishonestly diminishing weight or altering composition of Indian coin","Whoever fraudulently or dishonestly diminishes the weight or alters the composition of any Indian coin, shall be punished.","Altering the composition of an Indian rupee coin.","Imprisonment up to seven years and fine."
"248","Altering appearance of coin with intent that it shall pass as coin of different description","Whoever alters the appearance of any coin with the intent that it shall pass as a coin of a different description, shall be punished.","Plating a low-value coin with gold to make it resemble a high-value coin.","Imprisonment up to three years and fine."
"249","Altering appearance of Indian coin with intent that it shall pass as coin of different description","Whoever alters the appearance of any Indian coin with the intent that it shall pass as a coin of a different description, shall be punished.","Altering a ₹5 coin to make it look like a ₹10 coin.","Imprisonment up to seven years and fine."
"250","Delivery of coin, possessed with knowledge that it is altered","Whoever, having a coin whose weight or composition has been altered, delivers it to another person, knowing it to be altered, shall be punished.","Using a coin that has been shaved down to make a purchase.","Imprisonment up to five years and fine."
"251","Delivery of Indian coin, possessed with knowledge that it is altered","Whoever, having an Indian coin whose weight or composition has been altered, delivers it to another person, knowing it to be altered, shall be punished.","Paying with an altered Indian rupee coin.","Imprisonment up to ten years and fine."
"252","Possession of coin by person who knew it to be altered when he became possessed thereof","Whoever, with knowledge that a coin has been altered, is in possession of such coin, shall be punished.","Holding onto coins that have been fraudulently diminished in weight.","Imprisonment up to three years and fine."
"253","Possession of Indian coin by person who knew it to be altered when he became possessed thereof","Whoever, with knowledge that an Indian coin has been altered, is in possession of such coin, shall be punished.","Being in possession of altered Indian rupee coins.","Imprisonment up to five years and fine."
"254","Delivery of coin as genuine which, when first possessed, the deliverer did not know to be altered","Whoever delivers to another an altered coin as genuine, which he did not know to be altered when he took it into his possession, but subsequently discovered to be altered, shall be punished.","A person receives an altered coin as change and, after realizing it, uses it to pay someone else.","Imprisonment up to two years, or fine up to ten times the value of the coin, or both."
"255","Counterfeiting Government stamp","Whoever counterfeits, or knowingly performs any part of the process of counterfeiting, any stamp issued by Government for the purpose of revenue, shall be punished.","Manufacturing fake court fee stamps or revenue stamps.","Imprisonment for life or imprisonment up to ten years, and fine."
"256","Having possession of instrument or material for counterfeiting Government stamp","Whoever has in his possession any instrument or material for the purpose of counterfeiting any Government stamp, shall be punished.","Possessing paper, ink, or plates specifically designed to create fake revenue stamps.","Imprisonment up to seven years and fine."
"257","Making or selling instrument for counterfeiting Government stamp","Whoever makes, performs any part of the process of making, buys, sells, or disposes of any instrument for the purpose of counterfeiting any Government stamp, shall be punished.","Selling a printing press designed to create counterfeit government stamps.","Imprisonment up to seven years and fine."
"258","Sale of counterfeit Government stamp","Whoever sells, or offers for sale, any counterfeit Government stamp, knowing it to be counterfeit, shall be punished.","Selling fake court fee stamps.","Imprisonment up to seven years and fine."
"259","Having possession of counterfeit Government stamp","Whoever has in his possession any counterfeit Government stamp, knowing it to be counterfeit, shall be punished.","Holding a quantity of counterfeit revenue stamps.","Imprisonment up to seven years and fine."
"260","Using as genuine a Government stamp known to be counterfeit","Whoever uses as genuine any Government stamp known to be counterfeit, shall be punished.","Affixing a fake court fee stamp to a legal document.","Imprisonment up to seven years, or fine, or both."
"261","Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government","Whoever, with intent to cause loss to Government, effaces any writing from a substance bearing a Government stamp, or removes from a document a stamp that has been used for it, shall be punished.","Removing a used revenue stamp from one document to reuse it on another.","Imprisonment up to three years, or fine, or both."
"262","Using Government stamp known to have been before used","Whoever, fraudulently or with intent to cause loss to Government, uses any Government stamp which has been before used, shall be punished.","Reusing a postage stamp or revenue stamp that has already been canceled.","Imprisonment up to two years, or fine, or both."
"263","Erasure of mark denoting that stamp has been used","Whoever erases or removes any mark indicating that a stamp has been used, with intent to use it again, shall be punished.","Removing the cancellation mark from a used postage stamp.","Imprisonment up to three years, or fine, or both."
"263A","Prohibition of fictitious stamps","(1) Whoever makes, sells, or uses any fictitious stamp, or knowingly has in his possession any fictitious stamp, shall be punished. (2) A fictitious stamp means any stamp that resembles a Government stamp but is not issued by the Government.","Producing or selling fake postage stamps that look like real ones.","Imprisonment up to two years, or fine, or both."
"264","Fraudulent use of false instrument for weighing","Whoever fraudulently uses any instrument for weighing which he knows to be false, shall be punished.","A shopkeeper uses a rigged weighing scale to cheat customers.","Imprisonment up to one year, or fine, or both."
"265","Fraudulent use of false weight or measure","Whoever fraudulently uses any false weight or false measure of length or capacity, shall be punished.","Using a shortened measuring tape or underweight weights in trade.","Imprisonment up to one year, or fine, or both."
"266","Being in possession of false weight or measure","Whoever is in possession of any false weight or measure, knowing it to be false, shall be punished.","A merchant keeps altered weights in his shop intending to use them.","Imprisonment up to one year, or fine, or both."
"267","Making or selling false weight or measure","Whoever makes, sells, or disposes of any weight or measure which he knows to be false, shall be punished.","Manufacturing and selling rigged weighing scales.","Imprisonment up to one year, or fine, or both."
"268","Public nuisance","A person is guilty of a public nuisance who does any act or is guilty of an illegal omission which causes any common injury, danger or annoyance to the public or to the people in general who dwell or occupy property in the vicinity.","Blocking a public road, causing loud noise at night, or polluting a public water source.","Punishment as per Section 290."
"269","Negligent act likely to spread infection of disease dangerous to life","Whoever unlawfully or negligently does any act which is, and which he knows or has reason to believe to be, likely to spread the infection of any disease dangerous to life, shall be punished.","A person with a contagious disease knowingly travels in a crowded bus.","Imprisonment up to six months, or fine, or both."
"270","Malignant act likely to spread infection of disease dangerous to life","Whoever malignantly does any act which is likely to spread the infection of any disease dangerous to life, shall be punished.","Intentionally spreading a dangerous disease by contaminating food or water.","Imprisonment up to two years, or fine, or both."
"271","Disobedience to quarantine rule","Whoever knowingly disobeys any rule made and promulgated by the Government for putting any vessel into a state of quarantine, or for regulating the intercourse of such vessel with the shore, shall be punished.","A ship captain ignores quarantine protocols during an outbreak.","Imprisonment up to six months, or fine, or both."
"272","Adulteration of food or drink intended for sale","Whoever adulterates any article of food or drink, so as to make such article noxious as food or drink, intending to sell it, shall be punished.","Mixing water with milk or adding harmful chemicals to food products for sale.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"273","Sale of noxious food or drink","Whoever sells, or offers or exposes for sale, any article of food or drink which he knows to be noxious, shall be punished.","Selling spoiled meat or contaminated beverages.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"274","Adulteration of drugs","Whoever adulterates any drug or medical preparation so as to lessen its efficacy or to make it noxious, intending to sell it, shall be punished.","Diluting medicine with inactive ingredients to increase quantity.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"275","Sale of adulterated drugs","Whoever sells, or offers or exposes for sale, any drug or medical preparation which he knows to be adulterated, shall be punished.","Selling diluted or fake medicines.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"276","Sale of drug as a different drug or preparation","Whoever knowingly sells, or offers or exposes for sale, any drug or medical preparation as a different drug or preparation, shall be punished.","Selling a cheap medicine as an expensive branded drug.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"277","Fouling water of public spring or reservoir","Whoever voluntarily corrupts or fouls the water of any public spring or reservoir, so as to render it less fit for the purpose for which it is ordinarily used, shall be punished.","Dumping industrial waste into a public water source.","Imprisonment up to three months, or fine up to five hundred rupees, or both."
"278","Making atmosphere noxious to health","Whoever voluntarily vitiates the atmosphere in any place so as to make it noxious to the health of persons in general dwelling or carrying on business in the neighbourhood, shall be punished.","Releasing toxic fumes from a factory in a residential area.","Imprisonment up to five hundred rupees."
"279","Rash driving or riding on a public way","Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished.","Driving a car at high speed in a crowded market area.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"280","Rash navigation of vessel","Whoever navigates any vessel in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished.","Operating a boat in a reckless manner in a crowded waterway.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"281","Exhibition of false light, mark or buoy","Whoever exhibits any false light, mark or buoy, intending that such exhibition may mislead any navigator, shall be punished.","Setting up a fake lighthouse signal that causes a ship to run aground.","Imprisonment up to seven years, or fine, or both."
"282","Conveying person by water for hire in unsafe or overloaded vessel","Whoever knowingly or negligently conveys, or causes to be conveyed, any person by water in any vessel, when that vessel is in such a state or so loaded as to endanger the life of that person, shall be punished.","A ferry operator overloads his boat with passengers.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"283","Danger or obstruction in public way or line of navigation","Whoever, by doing any act, or by omitting to take order with any property in his possession or under his charge, causes danger, obstruction or injury to any person in any public way or line of navigation, shall be punished.","Leaving construction materials blocking a sidewalk or road.","Fine up to two hundred rupees."
"284","Negligent conduct with respect to poisonous substance","Whoever does, with any poisonous substance, any act in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any person, shall be punished.","Leaving poisonous pesticides open and accessible to children.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"285","Negligent conduct with respect to fire or combustible matter","Whoever does, with fire or any combustible matter, any act in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any person, shall be punished.","Carelessly storing gasoline near a source of heat.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"286","Negligent conduct with respect to explosive substance","Whoever does, with any explosive substance, any act in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any person, shall be punished.","Handling fireworks negligently in a crowded area.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"287","Negligent conduct with respect to machinery","Whoever does, with any machinery, any act in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any person, shall be punished.","Operating industrial equipment without safety guards.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"288","Negligent conduct with respect to pulling down or repairing buildings","Whoever, in pulling down or repairing any building, knowingly or negligently omits to take such order with that building as is sufficient to guard against any probable danger to human life from the fall of that building or of any part thereof, shall be punished.","Failing to put up safety nets during building demolition.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"289","Negligent conduct with respect to animal","Whoever knowingly or negligently omits to take such order with any animal in his possession as is sufficient to guard against any probable danger to human life, or any probable danger of grievous hurt from such animal, shall be punished.","Allowing a dangerous dog to roam freely in a public park.","Imprisonment up to six months, or fine up to one thousand rupees, or both."
"290","Punishment for public nuisance in cases not otherwise provided for","Whoever commits a public nuisance in any case not otherwise punishable by this Code, shall be punished.","Creating excessive smoke or noise that annoys the public.","Fine up to two hundred rupees."
"291","Continuance of nuisance after injunction to discontinue","Whoever repeats or continues a public nuisance, having been enjoined by any public servant who has lawful authority to issue such injunction not to repeat or continue such nuisance, shall be punished.","Continuing to play loud music after being warned by the police to stop.","Imprisonment up to six months, or fine, or both."
"292","Sale, etc., of obscene books, etc.","Whoever sells, lets to hire, distributes, publicly exhibits or in any manner puts into circulation, any obscene book, pamphlet, paper, drawing, painting, representation or figure or any other obscene object, shall be punished.","Selling or distributing pornography.","First conviction: imprisonment up to two years and fine up to two thousand rupees. Subsequent conviction: imprisonment up to five years and fine up to five thousand rupees."
"293","Sale, etc., of obscene objects to young person","Whoever sells, lets to hire, distributes, exhibits or circulates any obscene object to any person under the age of twenty years, shall be punished.","Selling pornographic material to a minor.","First conviction: imprisonment up to three years and fine up to two thousand rupees. Subsequent conviction: imprisonment up to seven years and fine up to five thousand rupees."
"294","Obscene acts and songs","Whoever, to the annoyance of others, does any obscene act in any public place, or sings, recites or utters any obscene song, ballad or words in or near any public place, shall be punished.","Using lewd language or performing indecent acts in a public place.","Imprisonment up to three months, or fine, or both."
"294A","Keeping lottery office","Whoever keeps any office or place for the purpose of drawing any lottery not being a State lottery or a lottery authorized by the State Government, shall be punished.","Operating an illegal gambling or lottery house.","Imprisonment up to six months, or fine, or both."
"295","Injuring or defiling place of worship with intent to insult the religion of any class","Whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of persons, with the intention of thereby insulting the religion of any class of persons, shall be punished.","Vandalizing a temple, mosque, church, or gurdwara.","Imprisonment up to two years, or fine, or both."
"295A","Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs","Whoever, with deliberate and malicious intention of outraging the religious feelings of any class of citizens, insults or attempts to insult the religion or the religious beliefs of that class, shall be punished.","Creating and sharing content online that deeply insults a religious community.","Imprisonment up to three years, or fine, or both."
"296","Disturbing religious assembly","Whoever voluntarily causes disturbance to any assembly lawfully engaged in the performance of religious worship, or religious ceremonies, shall be punished.","Disrupting a prayer meeting or a religious procession with loud noise.","Imprisonment up to one year, or fine, or both."
"297","Trespassing on burial places, etc.","Whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person, commits any trespass in any place of worship or on any place of sepulchre, or any place set apart for the performance of funeral rites, shall be punished.","Desecrating a grave or a cremation ground.","Imprisonment up to one year, or fine, or both."
"298","Uttering words, etc., with deliberate intent to wound religious feelings","Whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person, shall be punished.","Making derogatory remarks about a person's deity or prophet.","Imprisonment up to one year, or fine, or both."
"299","Culpable homicide","Whoever causes death by doing an act with the intention of causing death, or with the intention of causing such bodily injury as is likely to cause death, or with the knowledge that he is likely by such act to cause death, commits the offence of culpable homicide.","A person attacks another with a weapon, not necessarily intending to kill but knowing the act is likely to cause death.","Punishment as per Section 304."
"300","Murder","Except in the cases of exceptions, culpable homicide is murder if the act by which the death is caused is done with the intention of causing death, or if it is done with the intention of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused, or if it is done with the intention of causing bodily injury to any person and the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death, or if the person committing the act knows that it is so imminently dangerous that it must, in all probability, cause death.","Intentionally shooting someone in the head; stabbing someone in the heart.","Punishment as per Section 302."
"301","Culpable homicide by causing death of person other than person whose death was intended","If a person, by doing anything which he intends or knows to be likely to cause death, commits culpable homicide by causing the death of any person, whose death he neither intends nor knows himself to be likely to cause, the culpable homicide committed by the offender is of the description of which it would have been if he had caused the death of the person whose death he intended or knew himself to be likely to cause.","A intends to kill B but misses and kills C instead. A is guilty of the murder of C.","Punishment for the offence as if the intended person had been killed."
"302","Punishment for murder","Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine.","Premeditated killing; killing during a robbery.","Death, or imprisonment for life, and fine."
"303","Punishment for murder by life-convict","Whoever, being under sentence of imprisonment for life, commits murder, shall be punished with death.","A person already serving a life sentence kills another inmate or a prison guard.","Death."
"304","Punishment for culpable homicide not amounting to murder","Whoever commits culpable homicide not amounting to murder shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, if the act is done with the intention of causing death, or of causing such bodily injury as is likely to cause death; or with imprisonment of either description for a term which may extend to ten years, or with fine, or with both, if the act is done with the knowledge that it is likely to cause death, but without any intention to cause death.","A death caused in a sudden fight without premeditation; a death caused by a negligent act that falls short of murder.","If intentional: imprisonment for life or up to ten years and fine. If with knowledge but no intention: imprisonment up to ten years, or fine, or both."
"304A","Causing death by negligence","Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide, shall be punished.","Death caused by rash driving; medical negligence during surgery.","Imprisonment up to two years, or fine, or both."
"304B","Dowry death","Where the death of a woman is caused by any burns or bodily injury or occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that soon before her death she was subjected to cruelty or harassment by her husband or any relative of her husband for, or in connection with, any demand for dowry, such death shall be called ""dowry death"".","A woman is found dead in her matrimonial home within a few years of marriage, with evidence of ongoing harassment for dowry.","Imprisonment not less than seven years but which may extend to imprisonment for life."
"305","Abetment of suicide of child or insane person","If any person under eighteen years of age, any insane person, any delirious person, any idiot, or any person in a state of intoxication, commits suicide, whoever abets the commission of such suicide, shall be punished with death or imprisonment for life, or imprisonment for a term not exceeding ten years, and shall also be liable to fine.","Encouraging or helping a minor to commit suicide.","Death, or imprisonment for life, or imprisonment up to ten years, and fine."
"306","Abetment of suicide","If any person commits suicide, whoever abets the commission of such suicide, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Relentless bullying or harassment that drives a person to take their own life.","Imprisonment up to ten years and fine."
"307","Attempt to murder","Whoever does any act with such intention or knowledge, and under such circumstances, that, if he by that act caused death, he would be guilty of murder, shall be punished.","Shooting at someone but missing; administering a non-lethal dose of poison.","Imprisonment up to ten years and fine. If hurt is caused: imprisonment for life or up to ten years and fine."
"308","Attempt to commit culpable homicide","Whoever does any act with such intention or knowledge and under such circumstances that, if he by that act caused death, he would be guilty of culpable homicide not amounting to murder, shall be punished.","An attack that is likely to cause death but is not done with the specific intention to murder.","Imprisonment up to three years, or fine, or both. If hurt is caused: imprisonment up to seven years, or fine, or both."
"309","Attempt to commit suicide","Whoever attempts to commit suicide and does any act towards the commission of such offence, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both.","A person survives a suicide attempt.","Simple imprisonment up to one year, or fine, or both. (Note: This section is widely read down and not actively enforced in many jurisdictions)"
"310","Thug","Whoever, at any time after the passing of this Act, shall have been habitually associated with any other or others for the purpose of committing robbery or child-stealing by means of or accompanied with murder, is a thug.","Being part of a gang that murders people to rob them.","Punishment as per Section 311."
"311","Punishment","Whoever is a thug, shall be punished with imprisonment for life, and shall also be liable to fine.","A member of a gang that operates as thugs.","Imprisonment for life and fine."
"312","Causing miscarriage","Whoever voluntarily causes a woman with child to miscarry, shall be punished. If the woman is quick with child, the punishment is higher.","A person administers drugs to a pregnant woman to terminate her pregnancy without her consent or medical justification.","Imprisonment up to three years, or fine, or both. If quick with child: imprisonment up to seven years and fine."
"313","Causing miscarriage without woman's consent","Whoever commits the offence defined in the last preceding section without the consent of the woman, shall be punished.","Forcibly causing a woman to miscarry against her will.","Imprisonment for life, or imprisonment up to ten years, and fine."
"314","Death caused by act done with intent to cause miscarriage","Whoever, with intent to cause the miscarriage of a woman with child, does any act which causes the death of such woman, shall be punished.","A botched illegal abortion procedure that results in the death of the woman.","Imprisonment up to ten years and fine."
"315","Act done with intent to prevent child being born alive or to cause it to die after birth","Whoever before the birth of any child does any act with the intention of preventing that child from being born alive or causing it to die after its birth, shall be punished.","Injuring a pregnant woman to cause the death of the fetus or newborn child.","Imprisonment up to ten years, or fine, or both."
"316","Causing death of quick unborn child by act amounting to culpable homicide","Whoever does any act under such circumstances that if he thereby caused death he would be guilty of culpable homicide, and does by such act cause the death of a quick unborn child, shall be punished.","A violent assault on a pregnant woman that kills her viable fetus.","Imprisonment up to ten years and fine."
"317","Exposure and abandonment of child under twelve years, by parent or person having care of it","Whoever being the father or mother of a child under the age of twelve years, or having the care of such child, exposes or leaves such child in any place with the intention of wholly abandoning it, shall be punished.","Leaving a newborn baby in a garbage dump.","Imprisonment up to seven years, or fine, or both."
"318","Concealment of birth by secret disposal of dead body","Whoever, by secretly burying or otherwise disposing of the dead body of a child, whether such child dies before or after or during its birth, intentionally conceals or endeavours to conceal the birth of such child, shall be punished.","Burying a stillborn child in a backyard to hide the pregnancy.","Imprisonment up to two years, or fine, or both."
"319","Hurt","Whoever causes bodily pain, disease or infirmity to any person is said to cause hurt.","Slapping someone, pushing them, or causing them to become ill.","Punishment as per subsequent sections."
"320","Grievous hurt","The following kinds of hurt only are designated as ""grievous"": Emasculation; Permanent privation of the sight of either eye; Permanent privation of the hearing of either ear; Privation of any member or joint; Destruction or permanent impairing of the powers of any member or joint; Permanent disfiguration of the head or face; Fracture or dislocation of a bone or tooth; Any hurt which endangers life or which causes the sufferer to be during the space of twenty days in severe bodily pain, or unable to follow his ordinary pursuits.","Blinding someone in one eye; breaking a leg; causing a permanent facial scar.","Punishment as per Section 325."
"321","Voluntarily causing hurt","Whoever does any act with the intention of thereby causing hurt to any person, or with the knowledge that he is likely thereby to cause hurt to any person, and thereby causes hurt to any person, is said ""voluntarily to cause hurt"".","Intentionally punching someone and causing them pain.","Punishment as per Section 323."
"322","Voluntarily causing grievous hurt","Whoever voluntarily causes hurt, if the hurt which he intends to cause or knows himself to be likely to cause is grievous hurt, is said ""voluntarily to cause grievous hurt"".","Intentionally attacking someone with a weapon, knowing it is likely to cause serious injury.","Punishment as per Section 325."
"323","Punishment for voluntarily causing hurt","Whoever, except in the case provided for by section 334, voluntarily causes hurt, shall be punished.","A fistfight where one person injures another.","Imprisonment up to one year, or fine up to one thousand rupees, or both."
"324","Voluntarily causing hurt by dangerous weapons or means","Whoever, except in the case provided for by section 334, voluntarily causes hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance, or by means of any explosive substance, or by means of any substance which it is deleterious to the human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be punished.","Stabbing someone with a knife; throwing acid; setting someone on fire.","Imprisonment up to three years, or fine, or both."
"325","Punishment for voluntarily causing grievous hurt","Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt, shall be punished.","An attack that results in a broken bone or the loss of an eye.","Imprisonment up to seven years and fine."
"326","Voluntarily causing grievous hurt by dangerous weapons or means","Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance, or by means of any explosive substance, or by means of any substance which it is deleterious to the human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be punished.","An acid attack that causes permanent disfigurement; a shooting that causes a permanent injury.","Imprisonment for life, or imprisonment up to ten years, and fine."
"326A","Voluntarily causing grievous hurt by use of acid","Whoever causes permanent or partial damage or deformity to, or burns or maims or disfigures or disables, any part or parts of the body of a person, or causes grievous hurt by throwing acid on or administering acid to that person, shall be punished.","Throwing acid on a person's face, causing severe burns and blindness.","Imprisonment not less than ten years but which may extend to imprisonment for life, and fine."
"326B","Voluntarily throwing or attempting to throw acid","Whoever throws or attempts to throw acid on any person with the intention of causing permanent or partial damage or deformity or burns or maiming or disfigurement or disability or grievous hurt, shall be punished.","Attempting to throw acid on someone but missing or being prevented.","Imprisonment not less than five years but which may extend to seven years, and fine."
"327","Voluntarily causing hurt to extort property, or to constrain to an illegal act","Whoever voluntarily causes hurt for the purpose of extorting any property or valuable security, or of constraining any person to do anything which is illegal or which may facilitate the commission of an offence, shall be punished.","Torturing someone to force them to sign over property.","Imprisonment up to ten years and fine."
"328","Causing hurt by means of poison, etc., with intent to commit an offence","Whoever administers to or causes to be taken by any person any poison or any stupefying, intoxicating or unwholesome drug, or other thing with intent to cause hurt to such person, or to commit or facilitate the commission of an offence, shall be punished.","Drugging someone's drink to rob them or to commit a sexual assault.","Imprisonment up to ten years and fine."
