section_number,section_title,description,example_use_cases,punishment
267,Relating to Coin and Government Stamps - Section 267,Provision under Section 267 of the Indian Penal Code dealing with counterfeiting and forgery of official documents. This section deals with offences related to currency and official stamps.,"Counterfeiting currency, forging government stamps, using fake coins.",Imprisonment for life or up to 10 years and fines.
268,Relating to Weights and Measures - Section 268,Provision under Section 268 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
269,Relating to Weights and Measures - Section 269,Provision under Section 269 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
270,Relating to Weights and Measures - Section 270,Provision under Section 270 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
271,Relating to Weights and Measures - Section 271,Provision under Section 271 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
272,Relating to Weights and Measures - Section 272,Provision under Section 272 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
273,Relating to Weights and Measures - Section 273,Provision under Section 273 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
274,Relating to Weights and Measures - Section 274,Provision under Section 274 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
275,Relating to Weights and Measures - Section 275,Provision under Section 275 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
276,Relating to Weights and Measures - Section 276,Provision under Section 276 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
277,Relating to Weights and Measures - Section 277,Provision under Section 277 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
278,Relating to Weights and Measures - Section 278,Provision under Section 278 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
279,Relating to Weights and Measures - Section 279,Provision under Section 279 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
280,Relating to Weights and Measures - Section 280,Provision under Section 280 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
281,Relating to Weights and Measures - Section 281,Provision under Section 281 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
282,Relating to Weights and Measures - Section 282,Provision under Section 282 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
283,Relating to Weights and Measures - Section 283,Provision under Section 283 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
284,Relating to Weights and Measures - Section 284,Provision under Section 284 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
285,Relating to Weights and Measures - Section 285,Provision under Section 285 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
286,Relating to Weights and Measures - Section 286,Provision under Section 286 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
287,Relating to Weights and Measures - Section 287,Provision under Section 287 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
288,Relating to Weights and Measures - Section 288,Provision under Section 288 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
289,Relating to Weights and Measures - Section 289,Provision under Section 289 of the Indian Penal Code dealing with fraud in commercial transactions. This section addresses fraudulent practices in trade and commerce.,"Using false weights, fraudulent measurements in trade, cheating in commercial transactions.",Imprisonment up to 1 year or fines.
290,Offences Relating to Religion - Section 290,Provision under Section 290 of the Indian Penal Code dealing with religious harmony and protection of religious sentiments. This section protects religious freedom and prevents communal discord.,"Hurting religious feelings, disrupting religious assemblies, insulting religious beliefs.",Imprisonment up to 2 years or fines.
291,Offences Relating to Religion - Section 291,Provision under Section 291 of the Indian Penal Code dealing with religious harmony and protection of religious sentiments. This section protects religious freedom and prevents communal discord.,"Hurting religious feelings, disrupting religious assemblies, insulting religious beliefs.",Imprisonment up to 2 years or fines.
292,Offences Relating to Religion - Section 292,Provision under Section 292 of the Indian Penal Code dealing with religious harmony and protection of religious sentiments. This section protects religious freedom and prevents communal discord.,"Hurting religious feelings, disrupting religious assemblies, insulting religious beliefs.",Imprisonment up to 2 years or fines.
293,Offences Relating to Religion - Section 293,Provision under Section 293 of the Indian Penal Code dealing with religious harmony and protection of religious sentiments. This section protects religious freedom and prevents communal discord.,"Hurting religious feelings, disrupting religious assemblies, insulting religious beliefs.",Imprisonment up to 2 years or fines.
294,Offences Relating to Religion - Section 294,Provision under Section 294 of the Indian Penal Code dealing with religious harmony and protection of religious sentiments. This section protects religious freedom and prevents communal discord.,"Hurting religious feelings, disrupting religious assemblies, insulting religious beliefs.",Imprisonment up to 2 years or fines.
295,Offences Relating to Religion - Section 295,Provision under Section 295 of the Indian Penal Code dealing with religious harmony and protection of religious sentiments. This section protects religious freedom and prevents communal discord.,"Hurting religious feelings, disrupting religious assemblies, insulting religious beliefs.",Imprisonment up to 2 years or fines.
296,Offences Relating to Religion - Section 296,Provision under Section 296 of the Indian Penal Code dealing with religious harmony and protection of religious sentiments. This section protects religious freedom and prevents communal discord.,"Hurting religious feelings, disrupting religious assemblies, insulting religious beliefs.",Imprisonment up to 2 years or fines.
297,Offences Relating to Religion - Section 297,Provision under Section 297 of the Indian Penal Code dealing with religious harmony and protection of religious sentiments. This section protects religious freedom and prevents communal discord.,"Hurting religious feelings, disrupting religious assemblies, insulting religious beliefs.",Imprisonment up to 2 years or fines.
298,Offences Relating to Religion - Section 298,Provision under Section 298 of the Indian Penal Code dealing with religious harmony and protection of religious sentiments. This section protects religious freedom and prevents communal discord.,"Hurting religious feelings, disrupting religious assemblies, insulting religious beliefs.",Imprisonment up to 2 years or fines.
299,Offences Affecting the Human Body - Section 299,"Provision under Section 299 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
300,Offences Affecting the Human Body - Section 300,"Provision under Section 300 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
301,Offences Affecting the Human Body - Section 301,"Provision under Section 301 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
302,Offences Affecting the Human Body - Section 302,"Provision under Section 302 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
303,Offences Affecting the Human Body - Section 303,"Provision under Section 303 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
304A,Causing death by negligence,"Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Medical negligence causing death, rash driving causing fatal accident, negligent handling of machinery causing death.",Imprisonment up to 2 years or fine or both.
305,Offences Affecting the Human Body - Section 305,"Provision under Section 305 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
306,Offences Affecting the Human Body - Section 306,"Provision under Section 306 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
307,Offences Affecting the Human Body - Section 307,"Provision under Section 307 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
308,Offences Affecting the Human Body - Section 308,"Provision under Section 308 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
309,Offences Affecting the Human Body - Section 309,"Provision under Section 309 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
310,Offences Affecting the Human Body - Section 310,"Provision under Section 310 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
311,Offences Affecting the Human Body - Section 311,"Provision under Section 311 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
312,Offences Affecting the Human Body - Section 312,"Provision under Section 312 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
313,Offences Affecting the Human Body - Section 313,"Provision under Section 313 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
314,Offences Affecting the Human Body - Section 314,"Provision under Section 314 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
315,Offences Affecting the Human Body - Section 315,"Provision under Section 315 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
316,Offences Affecting the Human Body - Section 316,"Provision under Section 316 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
317,Offences Affecting the Human Body - Section 317,"Provision under Section 317 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
318,Offences Affecting the Human Body - Section 318,"Provision under Section 318 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
319,Offences Affecting the Human Body - Section 319,"Provision under Section 319 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
320,Offences Affecting the Human Body - Section 320,"Provision under Section 320 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
321,Offences Affecting the Human Body - Section 321,"Provision under Section 321 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
322,Offences Affecting the Human Body - Section 322,"Provision under Section 322 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
323,Offences Affecting the Human Body - Section 323,"Provision under Section 323 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
324,Offences Affecting the Human Body - Section 324,"Provision under Section 324 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
325,Offences Affecting the Human Body - Section 325,"Provision under Section 325 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
326,Offences Affecting the Human Body - Section 326,"Provision under Section 326 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
327,Offences Affecting the Human Body - Section 327,"Provision under Section 327 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
328,Offences Affecting the Human Body - Section 328,"Provision under Section 328 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
329,Offences Affecting the Human Body - Section 329,"Provision under Section 329 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
330,Offences Affecting the Human Body - Section 330,"Provision under Section 330 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
331,Offences Affecting the Human Body - Section 331,"Provision under Section 331 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
332,Offences Affecting the Human Body - Section 332,"Provision under Section 332 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
333,Offences Affecting the Human Body - Section 333,"Provision under Section 333 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
334,Offences Affecting the Human Body - Section 334,"Provision under Section 334 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
335,Offences Affecting the Human Body - Section 335,"Provision under Section 335 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
336,Offences Affecting the Human Body - Section 336,"Provision under Section 336 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
337,Offences Affecting the Human Body - Section 337,"Provision under Section 337 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
338,Offences Affecting the Human Body - Section 338,"Provision under Section 338 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
339,Offences Affecting the Human Body - Section 339,"Provision under Section 339 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
340,Offences Affecting the Human Body - Section 340,"Provision under Section 340 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
341,Offences Affecting the Human Body - Section 341,"Provision under Section 341 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
342,Offences Affecting the Human Body - Section 342,"Provision under Section 342 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
343,Offences Affecting the Human Body - Section 343,"Provision under Section 343 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
344,Offences Affecting the Human Body - Section 344,"Provision under Section 344 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
345,Offences Affecting the Human Body - Section 345,"Provision under Section 345 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
346,Offences Affecting the Human Body - Section 346,"Provision under Section 346 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
347,Offences Affecting the Human Body - Section 347,"Provision under Section 347 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
348,Offences Affecting the Human Body - Section 348,"Provision under Section 348 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
349,Offences Affecting the Human Body - Section 349,"Provision under Section 349 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
350,Offences Affecting the Human Body - Section 350,"Provision under Section 350 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
351,Offences Affecting the Human Body - Section 351,"Provision under Section 351 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
352,Offences Affecting the Human Body - Section 352,"Provision under Section 352 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
353,Offences Affecting the Human Body - Section 353,"Provision under Section 353 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
354,Offences Affecting the Human Body - Section 354,"Provision under Section 354 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
355,Offences Affecting the Human Body - Section 355,"Provision under Section 355 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
356,Offences Affecting the Human Body - Section 356,"Provision under Section 356 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
357,Offences Affecting the Human Body - Section 357,"Provision under Section 357 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
358,Offences Affecting the Human Body - Section 358,"Provision under Section 358 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
359,Offences Affecting the Human Body - Section 359,"Provision under Section 359 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
360,Offences Affecting the Human Body - Section 360,"Provision under Section 360 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
361,Offences Affecting the Human Body - Section 361,"Provision under Section 361 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
362,Offences Affecting the Human Body - Section 362,"Provision under Section 362 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
363,Offences Affecting the Human Body - Section 363,"Provision under Section 363 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
364,Offences Affecting the Human Body - Section 364,"Provision under Section 364 of the Indian Penal Code dealing with crimes against persons including murder, assault, and sexual offences. This section covers crimes that cause physical or mental harm to individuals.","Murder, culpable homicide, assault, rape, kidnapping, wrongful confinement.","Death penalty, life imprisonment, or imprisonment up to 14 years depending on severity."
